iter	Passed	Remaining
0	107	107644
1	109	54732
2	112	37229
3	113	28347
4	114	22878
5	116	19221
6	117	16607
7	118	14649
8	119	13119
9	120	11920
10	121	10946
11	123	10146
12	125	9532
13	127	8981
14	129	8491
15	131	8060
16	132	7686
17	134	7348
18	136	7045
19	137	6761
20	140	6533
21	141	6311
22	145	6169
23	147	5979
24	148	5808
25	150	5640
26	152	5490
27	154	5351
28	155	5221
29	158	5123
30	160	5017
31	162	4912
32	164	4814
33	166	4718
34	167	4628
35	169	4544
36	171	4463
37	173	4396
38	175	4322
39	177	4249
40	178	4180
41	181	4140
42	183	4091
43	185	4040
44	189	4011
45	190	3952
46	192	3895
47	193	3844
48	195	3792
49	196	3740
50	198	3701
51	200	3660
52	202	3617
53	204	3577
54	206	3541
55	208	3514
56	210	3482
57	212	3448
58	214	3420
59	215	3383
60	219	3381
61	221	3348
62	223	3319
63	225	3292
64	227	3265
65	229	3254
66	233	3246
67	234	3219
68	236	3197
69	238	3167
70	239	3139
71	241	3113
72	243	3090
73	246	3084
74	249	3071
75	251	3052
76	252	3029
77	254	3005
78	256	2986
79	258	2967
80	260	2950
81	261	2930
82	262	2902
83	264	2883
84	268	2889
85	273	2902
86	275	2886
87	276	2870
88	279	2857
89	280	2840
90	282	2822
91	284	2804
92	286	2790
93	288	2785
94	290	2770
95	292	2755
96	294	2742
97	296	2728
98	298	2716
99	300	2707
100	303	2703
101	305	2693
102	307	2679
103	309	2668
104	311	2657
105	313	2645
106	315	2632
107	317	2620
108	319	2608
109	320	2596
110	322	2582
111	324	2569
112	325	2557
113	327	2545
114	329	2534
115	331	2523
116	334	2521
117	336	2516
118	338	2508
119	340	2496
120	342	2485
121	343	2472
122	345	2461
123	346	2450
124	348	2442
125	350	2430
126	351	2418
127	353	2407
128	354	2396
129	356	2385
130	357	2374
131	359	2363
132	360	2352
133	362	2345
134	364	2337
135	366	2326
136	368	2318
137	369	2309
138	371	2303
139	374	2298
140	376	2294
141	378	2286
142	381	2286
143	383	2280
144	385	2272
145	386	2263
146	388	2254
147	390	2246
148	391	2238
149	393	2230
150	395	2223
151	397	2215
152	400	2215
153	404	2222
154	406	2217
155	410	2218
156	411	2210
157	413	2202
158	415	2196
159	417	2189
160	418	2179
161	420	2172
162	425	2183
163	428	2184
164	430	2178
165	432	2171
166	435	2173
167	437	2168
168	442	2174
169	444	2170
170	446	2164
171	448	2157
172	450	2151
173	452	2145
174	454	2142
175	456	2136
176	458	2130
177	460	2125
178	462	2120
179	464	2115
180	466	2111
181	469	2109
182	470	2102
183	472	2096
184	474	2089
185	475	2083
186	477	2076
187	479	2070
188	481	2063
189	482	2058
190	485	2054
191	487	2049
192	489	2045
193	491	2041
194	493	2037
195	495	2031
196	496	2025
197	499	2023
198	501	2019
199	503	2014
200	505	2010
201	507	2006
202	510	2003
203	512	1999
204	519	2015
205	533	2055
206	535	2052
207	537	2048
208	540	2044
209	542	2041
210	549	2055
211	553	2057
212	555	2054
213	559	2053
214	562	2054
215	565	2052
216	569	2054
217	571	2050
218	573	2046
219	576	2043
220	579	2042
221	582	2039
222	584	2038
223	587	2034
224	589	2029
225	591	2026
226	594	2024
227	597	2021
228	599	2018
229	601	2013
230	604	2011
231	606	2009
232	610	2009
233	613	2007
234	615	2003
235	617	1999
236	619	1993
237	620	1987
238	621	1980
239	623	1974
240	624	1967
241	626	1960
242	628	1956
243	629	1951
244	631	1945
245	632	1939
246	633	1932
247	635	1925
248	637	1923
249	641	1923
250	642	1917
251	646	1919
252	648	1914
253	650	1909
254	657	1921
255	659	1915
256	660	1909
257	662	1904
258	663	1898
259	664	1891
260	665	1884
261	666	1877
262	667	1871
263	672	1875
264	677	1877
265	680	1876
266	683	1875
267	686	1874
268	690	1876
269	693	1874
270	696	1872
271	700	1874
272	704	1877
273	708	1876
274	717	1892
275	724	1901
276	729	1904
277	734	1908
278	737	1906
279	747	1921
280	752	1926
281	755	1923
282	758	1922
283	762	1923
284	765	1920
285	770	1922
286	779	1936
287	783	1938
288	786	1935
289	790	1934
290	794	1935
291	797	1932
292	804	1940
293	809	1944
294	813	1944
295	816	1941
296	822	1946
297	826	1947
298	831	1950
299	837	1953
300	842	1956
301	845	1954
302	848	1951
303	850	1947
304	854	1948
305	858	1946
306	860	1942
307	863	1939
308	865	1935
309	869	1936
310	873	1935
311	878	1936
312	882	1937
313	889	1942
314	892	1940
315	895	1937
316	898	1936
317	902	1934
318	905	1933
319	910	1935
320	913	1932
321	915	1928
322	919	1926
323	921	1921
324	923	1917
325	925	1913
326	927	1909
327	929	1905
328	932	1901
329	934	1896
330	936	1892
331	938	1888
332	940	1884
333	942	1879
334	944	1875
335	947	1872
336	949	1868
337	951	1863
338	953	1858
339	955	1854
340	957	1850
341	960	1847
342	995	1907
343	998	1903
344	1034	1964
345	1037	1960
346	1039	1956
347	1043	1955
348	1046	1952
349	1049	1949
350	1052	1945
351	1055	1942
352	1068	1957
353	1071	1954
354	1075	1954
355	1078	1950
356	1080	1946
357	1082	1942
358	1085	1937
359	1088	1935
360	1091	1931
361	1093	1927
362	1096	1923
363	1130	1975
364	1134	1972
365	1136	1968
366	1139	1965
367	1142	1961
368	1144	1956
369	1146	1951
370	1148	1947
371	1152	1945
372	1155	1942
373	1158	1938
374	1160	1934
375	1162	1929
376	1164	1924
377	1166	1919
378	1169	1916
379	1171	1911
380	1172	1905
381	1174	1899
382	1175	1894
383	1179	1892
384	1181	1886
385	1184	1883
386	1185	1877
387	1210	1909
388	1214	1907
389	1218	1905
390	1220	1901
391	1224	1899
392	1228	1897
393	1234	1899
394	1238	1896
395	1240	1892
396	1243	1889
397	1250	1890
398	1253	1887
399	1255	1883
400	1258	1879
401	1261	1877
402	1266	1875
403	1273	1878
404	1275	1874
405	1278	1870
406	1280	1866
407	1283	1862
408	1286	1858
409	1290	1856
410	1294	1854
411	1297	1851
412	1299	1846
413	1301	1842
414	1303	1837
415	1305	1833
416	1308	1830
417	1311	1826
418	1314	1822
419	1316	1817
420	1318	1813
421	1322	1810
422	1324	1806
423	1326	1802
424	1331	1800
425	1335	1799
426	1339	1797
427	1342	1793
428	1345	1790
429	1347	1786
430	1350	1782
431	1357	1785
432	1359	1780
433	1362	1776
434	1364	1772
435	1366	1768
436	1369	1764
437	1372	1760
438	1375	1757
439	1377	1753
440	1379	1748
441	1382	1745
442	1384	1741
443	1386	1736
444	1388	1732
445	1390	1727
446	1392	1723
447	1394	1718
448	1397	1714
449	1399	1710
450	1401	1706
451	1403	1701
452	1405	1697
453	1408	1693
454	1410	1688
455	1412	1684
456	1414	1680
457	1416	1676
458	1418	1672
459	1420	1667
460	1422	1663
461	1424	1658
462	1426	1654
463	1428	1650
464	1431	1647
465	1433	1643
466	1435	1638
467	1437	1634
468	1439	1630
469	1442	1626
470	1444	1622
471	1447	1619
472	1449	1615
473	1451	1611
474	1454	1607
475	1456	1602
476	1458	1598
477	1460	1595
478	1462	1591
479	1464	1586
480	1466	1582
481	1469	1579
482	1472	1575
483	1474	1571
484	1476	1567
485	1479	1564
486	1481	1560
487	1483	1556
488	1486	1553
489	1491	1551
490	1495	1550
491	1499	1548
492	1502	1545
493	1506	1542
494	1509	1540
495	1512	1536
496	1514	1533
497	1517	1529
498	1520	1526
499	1523	1523
500	1525	1519
501	1527	1515
502	1530	1512
503	1534	1510
504	1537	1507
505	1541	1504
506	1543	1501
507	1547	1498
508	1549	1494
509	1551	1491
510	1555	1488
511	1557	1484
512	1560	1481
513	1563	1478
514	1576	1484
515	1581	1483
516	1584	1480
517	1587	1477
518	1590	1473
519	1593	1470
520	1597	1468
521	1601	1466
522	1603	1462
523	1605	1458
524	1607	1454
525	1609	1450
526	1612	1446
527	1614	1443
528	1616	1439
529	1618	1435
530	1620	1431
531	1623	1427
532	1625	1424
533	1628	1420
534	1630	1417
535	1632	1413
536	1634	1409
537	1636	1405
538	1638	1401
539	1640	1397
540	1642	1393
541	1645	1390
542	1648	1387
543	1650	1383
544	1652	1379
545	1654	1375
546	1662	1377
547	1666	1374
548	1669	1371
549	1672	1368
550	1674	1364
551	1677	1361
552	1679	1357
553	1681	1353
554	1683	1349
555	1685	1346
556	1688	1342
557	1690	1339
558	1693	1335
559	1695	1331
560	1697	1328
561	1699	1324
562	1701	1320
563	1703	1317
564	1706	1313
565	1708	1310
566	1710	1306
567	1712	1302
568	1714	1298
569	1716	1294
570	1721	1293
571	1723	1289
572	1726	1286
573	1727	1282
574	1729	1278
575	1731	1274
576	1734	1271
577	1736	1267
578	1738	1263
579	1740	1260
580	1742	1256
581	1744	1253
582	1746	1249
583	1748	1245
584	1750	1241
585	1752	1237
586	1753	1233
587	1755	1230
